writer, episode_code,gender
Justin Hurwitz,NABF16,m
David Isaacs,7F05,m
David Isaacs,8F07,m
Al Jean,7G04,m
Al Jean,7G06,m
Al Jean,7G07,m
Al Jean,7F12,m
Al Jean,7F24,m
Al Jean,8F02,m
Al Jean,8F06,m
Al Jean,9F04,m
Al Jean,2F32,m
Al Jean,3G03,m
Al Jean,3G02,m
Al Jean,AABF15,m
Al Jean,AABF21,m
Al Jean,BABF02,m
Al Jean,BABF22,m
Al Jean,CABF10,m
Al Jean,CABF16,m
Al Jean,RABF15,m
Al Jean,TABF03,m
Ben Joseph,PABF11,m
Eric Kaplan,RABF14,m
Ken Keeler,2F31,m
Ken Keeler,3F09,m
Ken Keeler,4F02,m
Ken Keeler,3F24,m
Ken Keeler,4F14,m
Ken Keeler,4F20,m
Ken Keeler,4F23,m
Brian Kelley,DABF19,m
Brian Kelley,EABF08,m
Brian Kelley,FABF06,m
Brian Kelley,KABF22,m
Brian Kelley,MABF04,m
Brian Kelley,NABF03,m
Brian Kelley,PABF17,m
Brian Kelley,RABF02,m
Brian Kelley,RABF21,m
Brian Kelley,SABF06,m
Mick Kelly,JABF22,m
Billy Kimball,JABF14,m
Billy Kimball,KABF08,m
Billy Kimball,KABF18,m
Billy Kimball,LABF04,m
Billy Kimball,NABF08,m
Billy Kimball,PABF08,m
Billy Kimball,RABF10,m
Billy Kimball,SABF18,m
Jay Kogen,7G03,m
Jay Kogen,7G12,m
Jay Kogen,7F04,m
Jay Kogen,7F06,m
Jay Kogen,7F17,m
Jay Kogen,8F05,m
Jay Kogen,8F12,m
Jay Kogen,8F22,m
Jay Kogen,9F04,m
Jay Kogen,9F15,m
Andrew Kreisberg,DABF08,m
Andrew Kreisberg,EABF05,m
Bob Kushell,2F03,m
Bob Kushell,3F12,m
Deb Lacusta,BABF14,f
Deb Lacusta,DABF12,f
Deb Lacusta,FABF08,f
Deb Lacusta,HABF10,f
Deb Lacusta,MABF22,f
Deb Lacusta,NABF09,f
Deb Lacusta,PABF02,f
Adam I. Lapidus,9F16,m
Rob LaZebnik,BABF21,m
Rob LaZebnik,CABF04,m
Rob LaZebnik,LABF08,m
Rob LaZebnik,MABF05,m
Rob LaZebnik,NABF06,m
Rob LaZebnik,PABF06,m
Rob LaZebnik,RABF04,m
Rob LaZebnik,SABF10,m
Ken Levine,7F05,m
Ken Levine,8F07,m
Josh Lieb,DABF08,m
Tim Long,AABF14,m
Tim Long,BABF01,m
Tim Long,BABF09,m
Tim Long,BABF19,m
Tim Long,CABF06,m
Tim Long,CABF12,m
Tim Long,DABF04,m
Tim Long,DABF20,m
Tim Long,EABF15,m
Tim Long,FABF22,m
Tim Long,GABF02,m
Tim Long,GABF07,m
Tim Long,HABF09,m
Tim Long,JABF15,m
Tim Long,KABF19,m
Tim Long,LABF17,m
Tim Long,MABF21,m
Tim Long,MABF18,m
Tim Long,NABF17,m
Tim Long,PABF05,m
Tim Long,PABF21,m
Tim Long,RABF07,m
Tim Long,SABF02,m
Tim Long,SABF03,m
David Mandel,PABF17,m
Jeff Martin,7F08,m
Jeff Martin,7F16,m
Jeff Martin,7F21,m
Jeff Martin,8F02,m
Jeff Martin,8F10,m
Jeff Martin,8F21,m
Jeff Martin,8F18,m
Jeff Martin,9F02,m
Jeff Martin,9F08,m
Jeff Martin,9F21,m
Matt Marshall,LABF11,m
Tom Martin,AABF08,m
Tom Martin,BABF07,m
Tom Martin,CABF05,m
Ian Maxtone-Graham,4F05,m
Ian Maxtone-Graham,4F22,m
Ian Maxtone-Graham,5F14,m
Ian Maxtone-Graham,5F09,m
Ian Maxtone-Graham,AABF03,m
Ian Maxtone-Graham,AABF19,m
Ian Maxtone-Graham,BABF10,m
Ian Maxtone-Graham,CABF07,m
Ian Maxtone-Graham,CABF21,m
Ian Maxtone-Graham,DABF18,m
Ian Maxtone-Graham,EABF13,m
Ian Maxtone-Graham,FABF14,m
Ian Maxtone-Graham,GABF11,m
Ian Maxtone-Graham,HABF06,m
Ian Maxtone-Graham,JABF14,m
Ian Maxtone-Graham,KABF18,m
Ian Maxtone-Graham,LABF04,m
Ian Maxtone-Graham,MABF06,m
Ian Maxtone-Graham,PABF08,m
Ian Maxtone-Graham,RABF10,m
Ian Maxtone-Graham,SABF18,m
Dan McGrath,1F04,m
Dan McGrath,1F06,m
Dan McGrath,1F22,m
Dan McGrath,2F03,m
George Meyer,7G13,m
George Meyer,7F07,m
George Meyer,7F22,m
George Meyer,8F01,m
George Meyer,8F02,m
George Meyer,8F15,m
George Meyer,9F01,m
George Meyer,1F05,m
George Meyer,AABF08,m
George Meyer,AABF22,m
George Meyer,BABF19,m
George Meyer,CABF22,m
David Mirkin,1F13,m
David Mirkin,RABF15,m
Frank Mula,9F13,m
Frank Mula,1F07,m
Frank Mula,BABF06,m
Michael Nobori,MABF12,m
Michael Nobori,RABF22,m
Bill Oakley,9F05,m
Bill Oakley,9F20,m
Bill Oakley,1F04,m
Bill Oakley,1F08,m
Bill Oakley,1F12,m
Bill Oakley,1F18,m
Bill Oakley,1F21,m
Bill Oakley,2F02,m
Bill Oakley,2F07,m
Bill Oakley,2F13,m
Bill Oakley,2F16,m
Bill Oakley,2F20,m
Bill Oakley,3F18,m
Conan O'Brien,9F06,m
Conan O'Brien,9F10,m
Conan O'Brien,1F02,m
Conan O'Brien,1F04,m
Jane O'Brien,5F20,m
Bill Odenkirk,FABF23,m
Bill Odenkirk,GABF08,m
Bill Odenkirk,HABF15,m
Bill Odenkirk,JABF13,m
Bill Odenkirk,KABF14,m
Bill Odenkirk,MABF03,m
Bill Odenkirk,NABF10,m
Bill Odenkirk,PABF18,m
Bill Odenkirk,RABF11,m
Bill Odenkirk,SABF19,m
Steve O'Donnell,5F24,m
Steve O'Donnell,5F23,m
Carolyn Omine,BABF04,f
Carolyn Omine,BABF21,f
Carolyn Omine,CABF03,f
Carolyn Omine,CABF19,f
Carolyn Omine,DABF03,f
Carolyn Omine,EABF04,f
Carolyn Omine,FABF09,f
Carolyn Omine,GABF13,f
Carolyn Omine,HABF22,f
Carolyn Omine,JABF18,f
Carolyn Omine,KABF07,f
Carolyn Omine,LABF16,f
Carolyn Omine,MABF09,f
Carolyn Omine,NABF19,f
Carolyn Omine,RABF01,f
Carolyn Omine,SABF12,f
Carolyn Omine,TABF01,f
Sam O'Neal,EABF06,m
Don Payne,BABF21,m
Don Payne,BABF17,m
Don Payne,CABF11,m
Don Payne,CABF17,m
Don Payne,CABF19,m
Don Payne,DABF06,m
Don Payne,EABF01,m
Don Payne,EABF14,m
Don Payne,FABF11,m
Don Payne,FABF18,m
Don Payne,GABF14,m
Don Payne,HABF01,m
Don Payne,JABF04,m
Don Payne,KABF05,m
Don Payne,LABF01,m
Don Payne,MABF02,m
Don Payne,RABF19,m
Don Payne,SABF01,m
Steve Pepoon,7F13,m
Edgar Allan Poe,7F04,m
Brian Pollack,DABF21,m
Mimi Pond,7G08,f
Michael Price,EABF18,m
Michael Price,FABF02,m
Michael Price,GABF01,m
Michael Price,HABF05,m
Michael Price,JABF09,m
Michael Price,JABF11,m
Michael Price,KABF01,m
Michael Price,KABF03,m
Michael Price,LABF02,m
Michael Price,MABF08,m
Michael Price,NABF01,m
Michael Price,PABF07,m
Michael Price,PABF10,m
Michael Price,PABF19,m
Michael Price,RABF17,m
Michael Price,SABF11,m
Max Pross,RABF05,m
Rachel Pulido,3F18,f
Rachel Pulido,4F09,f
Mike Reiss,7G04,m
